"Name","Total Fouls","Shooting Fouls","Ratio"
"Jason Phillips","913","221","0.2420591456736035"
"Monty McCutchen","824","232","0.2815533980582524"
"Scott Foster","792","209","0.2638888888888889"
"Josh Tiven","790","201","0.25443037974683547"
"Kane Fitzgerald","781","209","0.2676056338028169"
"Eric Lewis","779","200","0.25673940949935814"
"Marc Davis","765","212","0.27712418300653596"
"Ken Mauer","729","220","0.3017832647462277"
"Tom Washington","702","184","0.2621082621082621"
"Tony Brothers","686","174","0.2536443148688047"
"Mark Lindsay","428","108","0.2523364485981308"
"Tony Brothers","686","174","0.2536443148688047"
"Lauren Holtkamp","444","122","0.2747747747747748"
"Steve Anderson","498","144","0.2891566265060241"
"Kevin Scott","533","119","0.22326454033771106"
"Bill Kennedy","477","102","0.2138364779874214"
"J.T. Orr","513","144","0.2807017543859649"
"Nick Buchert","571","135","0.23642732049036777"
"James Capers","592","184","0.3108108108108108"
"Derek Richardson","495","131","0.26464646464646463"
