"Name","Total Incorrect Calls and Non-Calls","Total Calls","Ratio"
"Stephen Curry","7","143","0.04895104895104895"
"Kawhi Leonard","8","109","0.07339449541284404"
"Kevin Durant","12","117","0.10256410256410256"
"Russell Westbrook","26","229","0.11353711790393013"
"Kyle Lowry","19","180","0.10555555555555556"
"Paul George","12","130","0.09230769230769231"
"Carmelo Anthony","19","116","0.16379310344827586"
"Dwyane Wade","22","165","0.13333333333333333"
"LeBron James","23","203","0.11330049261083744"
"Anthony Davis","19","158","0.12025316455696203"
"James Harden","38","287","0.13240418118466898"
"Giannis Antetokounmpo","21","168","0.125"
"Kyrie Irving","6","89","0.06741573033707865"
"Jimmy Butler","15","147","0.10204081632653061"
"Marc Gasol","16","159","0.10062893081761007"
"Klay Thompson","7","82","0.08536585365853659"
"LaMarcus Aldridge","8","79","0.10126582278481013"
"Pau Gasol","9","134","0.06716417910447761"
"John Wall","14","168","0.08333333333333333"
